"","Species","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","NA","TD0","TD1","TD2","TD3","TD4","Fresh","Moist","Wet","SMR_Ind"
"49","AGROCRI",0.0731707317073171,0,0,0.195121951219512,0.0975609756097561,0.024390243902439,0.195121951219512,0,0,0,0.0487804878048781,0,0.024390243902439,0,0,0,0.341463414634146,0.0731707317073171,0.146341463414634,0.341463414634146,0.463414634146341,0.658536585365854,0.0487804878048781,0.024390243902439,0,"TD2"
"50","AGROEXA",0,0,0.0126582278481013,0,0,0,0.0126582278481013,0.0253164556962025,0.0126582278481013,0.0126582278481013,0.0379746835443038,0.0379746835443038,0.126582278481013,0.0886075949367089,0.10126582278481,0.177215189873418,0.354430379746835,0,0,0.0126582278481013,0.0126582278481013,0.0506329113924051,0.0632911392405063,0.253164556962025,0.278481012658228,"W"
"52","AGROGIG",0,0.0111111111111111,0,0,0.0777777777777778,0.111111111111111,0.122222222222222,0.0666666666666667,0.0111111111111111,0.0333333333333333,0.0444444444444444,0.0888888888888889,0.0444444444444444,0,0.0222222222222222,0.1,0.266666666666667,0,0.0111111111111111,0.0111111111111111,0.2,0.388888888888889,0.0888888888888889,0.133333333333333,0.122222222222222,"X"
"57","AGROPYR",0.00925925925925926,0.0185185185185185,0.0277777777777778,0.12037037037037,0.12962962962963,0.037037037037037,0.0555555555555556,0.0833333333333333,0.0833333333333333,0.0740740740740741,0.037037037037037,0.037037037037037,0.0462962962962963,0.00925925925925926,0,0.0462962962962963,0.185185185185185,0.00925925925925926,0.037037037037037,0.185185185185185,0.351851851851852,0.490740740740741,0.194444444444444,0.0925925925925926,0.0462962962962963,"X"
"58","AGROSCA",0.0022883295194508,0.0091533180778032,0.0274599542334096,0.034324942791762,0.0411899313501144,0.0480549199084668,0.0594965675057208,0.045766590389016,0.0389016018306636,0.0297482837528604,0.0434782608695652,0.0205949656750572,0.0617848970251716,0.0183066361556064,0.0183066361556064,0.217391304347826,0.283752860411899,0.0022883295194508,0.0137299771167048,0.0755148741418764,0.164759725400458,0.270022883295195,0.112128146453089,0.100686498855835,0.235697940503432,"X"
"59","AGROSTI",0,0,0.03584229390681,0.032258064516129,0.039426523297491,0.046594982078853,0.0537634408602151,0.0537634408602151,0.043010752688172,0.025089605734767,0.0501792114695341,0.017921146953405,0.0752688172043011,0.010752688172043,0.046594982078853,0.0860215053763441,0.383512544802867,0,0,0.0681003584229391,0.154121863799283,0.261648745519713,0.118279569892473,0.103942652329749,0.132616487455197,"X"
"60","AGROSTO",0,0,0,0.0333333333333333,0.0666666666666667,0.0333333333333333,0.266666666666667,0.0666666666666667,0,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0,0,0.2,0.2,0,0,0.0333333333333333,0.133333333333333,0.466666666666667,0.0666666666666667,0.0666666666666667,0.2,"X"
"61","AGROVAR",0,0,0,0,0.0491803278688525,0,0.0163934426229508,0.0163934426229508,0.0163934426229508,0,0,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0491803278688525,0.180327868852459,0.622950819672131,0,0,0,0.0491803278688525,0.0819672131147541,0.0163934426229508,0.0491803278688525,0.229508196721311,""
"64","AIRAPRA",0,0,0.148148148148148,0.296296296296296,0.111111111111111,0.0740740740740741,0.222222222222222,0.037037037037037,0,0,0,0,0.037037037037037,0,0,0,0.0740740740740741,0,0,0.444444444444444,0.62962962962963,0.888888888888889,0,0.037037037037037,0,"TD2"
"65","ALECOCH",0,0,0,0,0,0.00704225352112676,0.00704225352112676,0,0,0.00704225352112676,0,0,0,0,0,0,0.97887323943662,0,0,0,0.00704225352112676,0.0140845070422535,0.00704225352112676,0,0,""
"67","ALECTOR",0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0.0588235294117647,0,0,0.0588235294117647,0.823529411764706,0,0,0,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,0.0588235294117647,""
"71","ALLICER",0.0396119644300728,0.0177849636216653,0.0590137429264349,0.181891673403395,0.125303152789006,0.113985448666128,0.0913500404203719,0.0258690379951496,0.0121261115602264,0.00404203718674212,0.00242522231204527,0.00242522231204527,0.000808407437348424,0,0,0,0.323362974939369,0.0396119644300728,0.0970088924818108,0.337914308811641,0.577202910266775,0.694421988682296,0.0185933710590137,0.00323362974939369,0,"TD2"
"73","ALLISCH",0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.818181818181818,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,""
