,Species,SMR_Ind,Exceptions
2121,PACKPAC,X,
2122,PACKPAP,X,
2123,PACKPLA,X,
2124,PACKPSE,X,
2125,PACKSTR,TD3,
2126,PACKSUB,TD4,
2127,PALUDEL,,
2128,PALUFAL,W,
2129,PALUSQU,W,
2130,PANICAP,TD0,
2131,PANICUM,TD0,
2132,PANIDIC,TD4,
2133,PANNLEC,F,
2134,PANNPEZ,X,
2135,PANNPRA,TD0,
2136,PAPALAP,,
2137,PAPAPYG,,
2138,PAPARAD,,
2139,PAPAVER,,
2140,PARAENE,X,
2141,PARALON,TD3,
2142,PARIPEN,TD0,
2143,PARMAMB,X,
2144,PARMELI,TD0,
2145,PARMELO,TD2,
2146,PARMHYE,F,
2147,PARMOMP,TD4,
2148,PARMSAX,TD0,
2149,PARMSUL,X,
2150,PARNASI,TD3,
2151,PARNASS,,
2152,PARNFIM,M,
2153,PARNKOT,,
2154,PARNPAL,W,
2155,PARNPAR,,
2156,PASCOPY,,
2157,PASCSMI,TD3,
2158,PASTINA,,
2159,PAXIMYR,TD4,
2160,PECTBRE,,
2161,PECTIAN,W,
2162,PECTOVA,M,
2163,PECTPEN,X,
2164,PECTPET,M,
2165,PEDIBRA,X,
2166,PEDICAP,,
2167,PEDICON,,
2168,PEDICUL,X,
2169,PEDIGRO,M,
2170,PEDILAB,X,
2171,PEDILAG,,
2172,PEDILAN,,
2173,PEDIMAC,W,
2174,PEDIOED,,
2175,PEDIORN,,
2176,PEDIPAR,W,
2177,PEDIRAC,TD4,
2178,PEDISUD,,
2179,PEDIVER,F,
2180,PELLEND,W,
2181,PELLEPI,,
2182,PELLGAS,TD0,
2183,PELLGLA,TD0,
2184,PELLIA,W,
2185,PELLNEE,M,
2186,PELTAPH,X,
2187,PELTBRI,X,
2188,PELTCAN,TD3,
2189,PELTCHI,X,
2190,PELTCIN,X,
2191,PELTCOL,X,
2192,PELTDEG,TD4,
2193,PELTDID,TD2,
2194,PELTELI,TD3,
2195,PELTGOW,TD3,
2196,PELTHOR,X,
2197,PELTIGE,TD3,
2198,PELTIGR,,
2199,PELTKRI,X,
2200,PELTLEP,TD1,
2201,PELTLEU,X,
2202,PELTMAL,TD2,
2203,PELTMEM,X,
2204,PELTNEC,TD4,
2205,PELTNEO,X,
2206,PELTOCC,X,
2207,PELTOLE,X,
2208,PELTPAC,W,
2209,PELTPON,TD2,
2210,PELTPOY,X,
2211,PELTPRA,X,
2212,PELTRET,TD4,
2213,PELTRUF,TD1,
2214,PELTSCA,X,
2215,PELTVEN,TD3,
2216,PENSALB,TD4,
2217,PENSCON,TD3,
2218,PENSDAV,TD3,
2219,PENSELL,TD4,
2220,PENSERI,,
2221,PENSFRU,TD1,
2222,PENSGOR,TD2,
2223,PENSGRA,M,
2224,PENSLYA,TD4,
2225,PENSPRO,TD4,
2226,PENSPRU,TD3,
2227,PENSSER,TD3,
2228,PENSTEM,TD3,
2229,PENTAGR,TD3,
2230,PENTTRI,X,
2231,PERIMON,TD2,
2232,PERSAMP,W,
2233,PERSHYD,X,
2234,PERSHYR,W,
2235,PERSLAP,,
2236,PERSMAC,W,
2237,PERTDAC,,
2238,PERTPAN,,
2239,PERTSUA,,
2240,PERTSUB,,
2241,PERTUSA,,
2242,PETAFRI,X,
2243,PETASIT,TD4,
2244,PETRORH,,
2245,PHACELI,TD1,
2246,PHACFRA,,
2247,PHACHAS,TD0,
2248,PHACHET,TD3,
2249,PHACLEP,,
2250,PHACLIN,TD0,
2251,PHACLYA,,
2252,PHACOPS,M,
2253,PHACSER,,
2254,PHAENIM,TD2,
2255,PHALARI,F,
2256,PHALARU,X,
2257,PHEGCON,M,
2258,PHEMSED,TD0,
2259,PHILCAP,W,
2260,PHILFON,W,
2261,PHILLEW,TD1,
2262,PHILONO,W,
2263,PHIPALG,,
2264,PHLEALP,,
2265,PHLEPRA,X,
2266,PHLEUM,,
2267,PHLOCAE,TD3,
2268,PHLODIF,TD4,
2269,PHLOHOO,TD3,
2270,PHLOLON,TD0,
2271,PHLOX,TD3,
2272,PHRAAUS,,
2273,PHYLEMP,X,
2274,PHYLGLA,,
2275,PHYLLOD,,
2276,PHYLLOS,TD4,
2277,PHYSADS,TD0,
2278,PHYSAIP,TD2,
2279,PHYSARC,,
2280,PHYSARI,,
2281,PHYSBIZ,TD0,
2282,PHYSCAE,TD1,
2283,PHYSCAP,X,
2284,PHYSCIA,TD2,
2285,PHYSCOA,TD2,
2286,PHYSDID,,
3419,PHYSDOU1,TD3,
2287,PHYSDUB,TD2,
2288,PHYSMAL,TD2,
2289,PHYSMUS,TD1,
2290,PHYSOCA,,
2291,PHYSPHA,,
2292,PHYSTRI,M,
2293,PICEA,X,
2294,PICEAX,X,
2295,PICEENE,X,
2296,PICEENG,X,
2297,PICEGLA,X,
2298,PICEGLM,W,
2299,PICEMAR,X,
2300,PICESIT,M,F
2301,PICESIX,F,
2302,PICEXLU,M,F
2303,PILOACI,X,
2304,PILOCER,TD4,
2305,PILOCLA,,
3416,PILOSELL,TD3,
3417,PILOXFL,,
2306,PINGUIC,,
2307,PINGVIL,W,
2308,PINGVUL,W,
2309,PINUALB,,TD3
2310,PINUBAN,TD4,TD3
2311,PINUCON,X,
2312,PINUFLE,F,TD3
2313,PINUMON,X,
2314,PINUPON,TD1,TD2
2315,PINURAD,F,
2316,PINUS,TD4,X
2317,PIPERIA,TD2,
2318,PIPTEXG,TD1,
2319,PIPTMIR,TD0,
2320,PIPTPUG,TD3,
2321,PLACULI,TD2,
2322,PLAGASL,M,
2323,PLAGCAV,M,
2324,PLAGCIL,X,
2325,PLAGCUS,X,
2326,PLAGDEM,,
2327,PLAGDEN,X,
2328,PLAGDRU,X,
2329,PLAGELL,W,
2330,PLAGINS,M,
2331,PLAGIOB,W,
2332,PLAGIOM,M,
2333,PLAGIOR,W,
2334,PLAGIOT,X,
2335,PLAGLAE,X,
2336,PLAGMED,M,
2337,PLAGNEM,M,
2338,PLAGOED,M,
2339,PLAGPIL,X,
2340,PLAGPOR,M,
2341,PLAGROS,,
2342,PLAGSCO,TD0,
2343,PLAGVEN,X,
2344,PLANLAN,X,
2345,PLANMAC,W,
2346,PLANMAJ,X,
2347,PLANMAR,X,
2348,PLANMED,,
2349,PLANPAT,TD1,
2350,PLANTAG,X,
2351,PLANTAI,M,
2352,PLATANT,X,
2353,PLATAQU,W,
2354,PLATCHO,,
2355,PLATDIL,W,
2356,PLATELE,X,
2357,PLATELO,TD2,
2358,PLATGLA,X,
2359,PLATHER,M,
2360,PLATHUR,W,
2361,PLATISM,,
2362,PLATJUN,M,
2363,PLATOBT,X,
2364,PLATORB,X,
2365,PLATSTR,W,
2366,PLATUNA,X,
2367,PLATYDI,M,
2368,PLECCON,TD2,
2369,PLECMAC,TD2,
2370,PLEUACU,M,
2371,PLEUPUR,W,
2372,PLEUREF,W,
2373,PLEURID,TD4,
2374,PLEUROI,X,
2375,PLEUROZ,X,
2376,PLEURUT,W,
2377,PLEUSCH,X,
2378,POA,X,
2379,POACEAE,X,
2380,PODAAEQ,W,
2381,PODAHUM,,
2382,POGOCON,M,
2383,POGODEN,W,
2384,POGONAT,X,
2385,POGOURN,,
2386,POHLANN,M,
2387,POHLBUL,W,
2388,POHLCAM,M,
2389,POHLCAR,,
2390,POHLCRU,X,
2391,POHLDRU,W,
2392,POHLELO,F,
2393,POHLFIU,W,
2394,POHLIA,X,
2395,POHLLON,W,
2396,POHLLUD,W,
2397,POHLNUT,X,
2398,POHLPRO,W,
2399,POHLWAH,M,
2400,POLEACU,,
2401,POLEBOR,,
2402,POLEELE,,
2403,POLEMIC,TD1,
2404,POLEMON,TD4,
2405,POLEOCC,,
2406,POLEPUL,TD3,
2407,POLEVIS,,
2408,POLYACH,W,
2409,POLYALI,,
2410,POLYAMO,TD4,
2411,POLYAND,M,
2412,POLYAVI,X,
2413,POLYBLA,F,
2414,POLYBRA,M,
2415,POLYCOM,X,
2416,POLYDEN,F,
2417,POLYDOU,TD1,
2418,POLYFOR,X,
2419,POLYGAL,TD3,
2420,POLYGLY,X,
2421,POLYGON,X,
2422,POLYHES,TD2,
2423,POLYIMB,X,
2424,POLYJUN,TD4,
2425,POLYKRU,,
2426,POLYLOC,X,
2427,POLYLOG,W,
2428,POLYLYA,X,
2429,POLYMAJ,TD0,
2430,POLYMIN,X,
2431,POLYMUN,X,
2432,POLYPIL,TD2,
2433,POLYPOD,X,
2434,POLYPOL,,
2435,POLYRAM,TD2,
2436,POLYSCO,TD4,
2437,POLYSCP,X,
2438,POLYSEX,,
2439,POLYSIB,,
2440,POLYSPH,X,
2441,POLYSPO,,
2442,POLYSTI,F,
2443,POLYSTR,W,
2444,POLYTRC,TD2,
2445,POLYTRH,M,
2446,POLYTRI,X,
2447,POPUBAL,X,
2448,POPULUS,X,
2449,POPULX,,
2450,POPUTRE,TD4,
2451,POPUTRI,X,
2452,PORECOR,M,
2453,PORENAV,M,
2454,POROBIG,F,
2455,POTAALP,,
2456,POTAFOL,,
2457,POTAGRA,W,
2458,POTAMOG,,
2459,POTANAT,,
2460,POTANOD,W,
2461,POTAPUS,,
2462,POTARIC,,
2463,POTAZOS,,
2464,POTEANS,X,
2465,POTEARE,,
2466,POTEARG,TD2,
2467,POTEBIF,,
2468,POTEBIP,TD0,
2469,POTEDRU,,
2470,POTEFLA,,
2471,POTEGLU,,
2472,POTEGRA,X,
2473,POTEHIP,TD2,
2474,POTEHOO,,
2475,POTENAN,,
2476,POTENIV,,
2477,POTENOR,X,
2478,POTENTI,X,
2479,POTEOCC,W,
2480,POTEOVI,,
2481,POTEPEN,X,
2482,POTEPUL,,
2483,POTEREC,TD2,
2484,POTERIV,M,
2485,POTESAN,W,
2486,POTESUB,,
2487,POTESUG,,
2488,POTESUP,W,
2489,POTEVIL,,
2490,POTTIA,X,
2491,POTTIAC,TD2,
2492,POTTNEV,TD1,
2493,PREIQUA,W,
2494,PREISSI,,
2495,PRENALA,M,
2496,PRENANT,F,
2497,PRENSAG,F,
2498,PRIMEGA,,
2499,PRIMFRI,,
2500,PRIMHEN,TD2,
2501,PRIMJEF,W,
2502,PRIMLAT,X,
2503,PRIMPAU,TD1,
2504,PRIMULA,TD4,
2505,PROSART,X,
2506,PROSHOO,X,
2507,PROSSMI,M,
2508,PROSTRA,TD3,
2509,PROTPEZ,,
2510,PRUNAVI,TD4,
2511,PRUNEMA,TD2,
2512,PRUNPEN,TD3,
2513,PRUNUS,TD2,
2514,PRUNVIR,TD2,
2515,PRUNVUL,X,
2516,PSEUAEN,TD3,
2517,PSEUANO,M,
2518,PSEUATR,M,
2519,PSEUBAI,M,
2520,PSEUDEH,X,
2521,PSEUDOC,M,
2522,PSEUDOE,,
2523,PSEUDOL,M,
2524,PSEUDOT,W,
2525,PSEUELE,X,
2526,PSEUINC,X,
2527,PSEUMAC,TD3,
2528,PSEUMEN,TD3,X
2529,PSEUPAT,X,
2530,PSEUPUB,TD1,
2531,PSEURAD,X,
2532,PSEURAI,TD2,
2533,PSEUREV,TD0,
2534,PSEUSPI,TD1,
2535,PSEUSTE,X,
2536,PSEUTEC,TD0,
2537,PSEUTHE,TD4,
2538,PSEUTRI,W,
2539,PSORA,TD2,
2540,PSORCER,TD0,
2541,PSORDEC,TD0,
2542,PSORGLO,TD0,
2543,PSORHIM,TD2,
2544,PSORHYP,TD2,
2545,PSORMON,TD1,
2546,PSORNIP,TD2,
2547,PSOROMA,,
2548,PSORTUC,TD0,
2549,PTERAND,TD3,
2550,PTERAQU,X,
2551,PTERFIL,X,
2552,PTERIDI,TD4,
2553,PTEROSP,TD4,
2554,PTEROVA,TD0,
2555,PTERYGO,,
2556,PTILCAL,X,
2557,PTILCIL,X,
2558,PTILCRI,X,
2559,PTILIDI,X,
2560,PTILIUM,X,
2561,PTILPUL,X,
2562,PTYCINC,,
2563,PUCCDIS,X,
2564,PUCCINE,F,
2565,PUCCNUA,X,
2566,PUCCNUT,W,
2567,PUCCPUM,W,
2568,PULSOCC,,
2569,PUNCTEL,W,
2570,PURSTRI,TD1,
2571,PYLIPOL,X,
2572,PYRACAN,TD3,
2573,PYROASA,X,
2574,PYROCHL,X,
2575,PYRODEN,TD3,
2576,PYROELL,X,
2577,PYROGRA,X,
2578,PYROLA,X,
2579,PYROMIN,X,
3420,QUERGAR1,TD2,
2580,RACOACI,TD3,
2581,RACOAFF,TD3,
2582,RACOBRV,TD4,
2583,RACOCAN,TD3,
2584,RACODIU,TD3,
2585,RACOELO,TD3,
2586,RACOERI,TD3,
2587,RACOFAS,X,
2588,RACOHET,TD3,
2589,RACOLAN,X,
2590,RACOLAW,,
2591,RACOMAC,,
2592,RACOMIC,TD3,
2593,RACOMIT,TD3,
2594,RACOMUT,X,
2595,RACOOCC,TD3,
2596,RACORYS,,
2597,RACOSUD,TD3,
2598,RACOVAR,,
2599,RADULA,,
2600,RAMATHR,F,
2601,RANUABO,X,
2602,RANUACR,X,
2603,RANUAQU,W,VW
2604,RANUARC,,
2605,RANUESC,,
2606,RANUFLA,W,VW
2607,RANUFLM,W,
2608,RANUGLA,TD1,
2609,RANUGME,W,VW
2610,RANUGRA,,
2611,RANUHYP,,
2612,RANUINA,,
2613,RANUMAC,X,
2614,RANUNCL,X,
2615,RANUNCU,,
2616,RANUNIV,,
2617,RANUOCC,,
2618,RANUORT,W,
2619,RANUPED,,
2620,RANUPEN,F,
2621,RANUPYG,,
2622,RANUREP,M,
2623,RANUSCE,W,
2624,RANUSUL,,
2625,RANUUNC,X,
2626,RAPHANU,M,
2627,RAPHSAT,,
2628,RHABDOW,TD3,
2629,RHAMALN,TD4,
2630,RHAPREP,X,
2631,RHINANT,TD3,
2632,RHINMIN,TD3,
2633,RHIZAND,,
2634,RHIZCHR,,
2635,RHIZEUP,TD3,
2636,RHIZGEM,,
2637,RHIZGEO,TD3,
2638,RHIZGLB,M,
2639,RHIZGRA,M,
2640,RHIZGRC,W,
2641,RHIZMAC,F,
2642,RHIZMAG,W,
2643,RHIZMEL,TD0,
2644,RHIZNUD,M,
2645,RHIZOCA,X,
2646,RHIZOMN,M,
2647,RHIZOPL,TD3,
2648,RHIZPSE,W,
2649,RHIZPUN,W,
2650,RHIZSUP,TD3,
2651,RHODALB,X,
2652,RHODGRO,X,
2653,RHODINT,,
2654,RHODLAP,,
2655,RHODMAC,TD3,
2656,RHODNEO,X,
2657,RHODOBR,F,
2658,RHODODE,F,
2659,RHODTOM,,
2660,RHUS,TD0,
2661,RHUSGLA,TD0,
2662,RHYNALB,W,
2663,RHYNCHO,TD4,
2664,RHYTIDA,X,
2665,RHYTIDI,X,
2666,RHYTIDO,X,
2667,RHYTIDU,F,
2668,RHYTLOR,M,F
2669,RHYTROB,X,
2670,RHYTRUG,,
2671,RHYTSQU,M,
2672,RHYTSUB,W,
2673,RHYTTRI,X,
2674,RIBEACE,X,
2675,RIBEBRA,M,
2676,RIBECER,TD0,
2677,RIBEDIV,W,
2678,RIBEGLA,X,
2679,RIBEHUD,X,
2680,RIBEINE,X,
2681,RIBELAC,X,
2682,RIBELAX,M,
2683,RIBELOB,F,
2684,RIBEOXY,X,
2685,RIBES,X,
2686,RIBESAN,X,
2687,RIBETRI,X,
2688,RIBEVIS,TD3,
2689,RICCARD,M,
2690,RICCCHA,W,VW
2691,RICCLAT,M,
2692,RICCMUL,W,VW
2693,RICCNAT,,
2694,RICCPAL,W,VW
2695,RINOARC,TD2,
2696,RINODIN,TD2,
2697,RINOTUR,TD4,
2698,ROELLIA,W,
2699,ROELROE,X,
2700,ROMANZO,,
2701,ROMASIT,M,
2702,RORICUR,,
2703,RORICUV,TD4,
2704,RORIPAL,W,
2705,RORIPPA,W,
2706,RORISYL,X,
2707,ROSA,TD3,
2708,ROSAACI,X,
2709,ROSACEA,TD4,
2710,ROSAGYM,TD3,
2711,ROSANUT,X,
2712,ROSAPIS,TD3,
2713,ROSARUB,TD4,
2714,ROSAWOO,TD3,
2715,RUBIACE,M,
2716,RUBUARC,W,
2717,RUBUARM,X,
2718,RUBUCHA,W,
2719,RUBUIDA,X,
2720,RUBULAC,X,
2721,RUBULAS,,
2722,RUBULEU,TD3,
2723,RUBUNIV,W,
2724,RUBUPAR,X,
2725,RUBUPED,F,
2726,RUBUPUB,X,
2727,RUBUS,X,
2728,RUBUSPE,M,
2729,RUBUURS,X,
2730,RUMEACO,X,
2731,RUMEACT,TD1,
2732,RUMECRI,W,
2733,RUMELAP,,
2734,RUMEMAR,,
2735,RUMEOCC,X,
2736,RUMEX,X,
2737,RUPPMAR,W,
2738,SABUAUS,,
2739,SABUELE,TD3,
2740,SABUMAC,TD0,
2741,SABUNUT,,
2742,SABURUB,,
2743,SAELANI,M,
2744,SAGICUN,,
2745,SAGILAT,W,VW
2746,SAGIMAX,X,
2747,SAGINA,,
2748,SAGISAG,,
2749,SAGITTA,W,
2750,SALIALA,F,
2751,SALIALB,W,
2752,SALIAMY,M,
2753,SALIARB,W,M
2754,SALIARC,,
2755,SALIATH,X,
2756,SALIBAA,,
2757,SALIBAC,W,M
2758,SALIBEB,X,
2759,SALIBOO,W,
2760,SALIBRA,,
2761,SALICAN,W,
2762,SALICAS,,TD4
2763,SALICOM,,M
2764,SALICOR,TD4,
2765,SALIDIS,X,
2766,SALIDRU,W,M
2767,SALIEXI,X,
2768,SALIFAR,X,
2769,SALIGEY,W,
2770,SALIGLA,X,
2771,SALIHOO,F,
2772,SALILAS,X,
2773,SALIMAC,X,
2774,SALIMEL,X,
2775,SALIMYR,X,
2776,SALINIV,,
2777,SALIPED,W,
2778,SALIPER,,
2779,SALIPET,X,
2780,SALIPLA,,M
2781,SALIPOL,,
2782,SALIPRO,W,M
2783,SALIPSD,W,M
2784,SALIPSE,W,M
2785,SALIPUL,,M
2786,SALIPYR,X,
2787,SALIRAU,F,
2788,SALIRET,,
2789,SALIRIC,,M
2790,SALIRUB,W,
2791,SALISCO,X,
2792,SALISER,W,
2793,SALISES,X,
2794,SALISIT,W,M
2795,SALISTO,,F
2796,SALITWE,,
2797,SALIVES,X,
2798,SALIX,X,
2799,SALIXFR,X,
2800,SALSTRA,TD0,
2801,SAMBNIG,X,
2802,SAMBRAC,M,
2803,SAMBUCU,X,
2804,SANGOFF,W,
2805,SANGSTI,W,
2806,SANGUIS,X,
2807,SANICRA,TD2,
2808,SANICUL,M,
2809,SANIGRA,TD2,
2810,SANIMAR,X,
2811,SANIONI,X,
2812,SANISYM,W,
2813,SANIUNC,X,
2814,SARCPAC,W,
2815,SARRPUR,W,
2816,SAUSAME,TD4,
2817,SAUSNUD,,
2818,SAUSSUR,,
2819,SAXIADS,,
2820,SAXIAIZ,,
2821,SAXIBRO,TD3,
2822,SAXICER,,
2823,SAXICES,,
2824,SAXIFLA,,
2825,SAXIFRA,X,
2826,SAXIFRG,F,
2827,SAXIHIR,,
2828,SAXIHYP,,
2829,SAXIMER,X,
2830,SAXIOPP,,
2831,SAXITRI,,TD2
2832,SCAPAME,X,
2833,SCAPBOL,M,
2834,SCAPIRR,X,
2835,SCAPMUC,W,
2836,SCAPPAL,W,
2837,SCAPPAU,W,
2838,SCAPSUB,M,
2839,SCAPULI,W,
2840,SCAPUMB,F,
2841,SCEPMUL,M,
2842,SCHEARU,M,
2843,SCHEPAL,W,
2844,SCHEPRA,TD4,
2845,SCHIAGA,TD0,
2846,SCHIAPO,TD1,
2847,SCHIATR,TD4,
2848,SCHIFRI,TD2,
2849,SCHIHET,TD2,
2850,SCHIINC,X,
2851,SCHILAX,W,
2852,SCHIPAP,TD2,
2853,SCHIPEN,M,
2854,SCHIPUR,X,
2855,SCHIRIV,M,
2856,SCHISTI,TD0,
2857,SCHISUB,,
2858,SCHITEN,,
2859,SCHIVEN,,
2860,SCHIZAC,X,
2861,SCHOACU,,VW
2862,SCHOENP,,
2863,SCHOPUN,TD4,
2864,SCHOTAB,,VW
2865,SCIRATR,W,VW
2866,SCIRCYP,M,
2867,SCIRMIC,W,
2868,SCIRPUS,W,
2869,SCLEANN,TD0,
2870,SCLEOBT,,
2871,SCLEROH,F,
2872,SCLEROP,,
2873,SCOLFES,,
2874,SCOLOCH,F,
2875,SCORCOS,W,
2876,SCORPID,,W
2877,SCORREV,W,
2878,SCORSCO,W,
2879,SCOUAQU,M,
2880,SCROPHL,TD4,
2881,SCROPHU,,
2882,SCUTANG,TD2,
2883,SCUTELL,,
2884,SCUTGAL,W,
2885,SCUTLAT,M,
2886,SECACER,,
2887,SEDUDIV,TD4,TD3
2888,SEDULAN,TD2,
2889,SEDUM,TD2,
2890,SEDUORE,TD4,TD3
2891,SEDUSPA,TD2,
2892,SEDUSTE,TD2,
2893,SELADEN,TD1,
2894,SELAGIN,X,
2895,SELASCO,,
2896,SELASEL,M,
2897,SELASIB,,
2898,SELASTA,,
2899,SELAWAL,TD1,
2900,SELIGER,TD2,
2901,SENECIO,X,
2902,SENEERE,M,
2903,SENEFRE,,
2904,SENEHYD,TD3,
2905,SENEHYR,X,
2906,SENEINT,TD3,
2907,SENELUG,,
2908,SENEMEG,TD3,
2909,SENEPSU,W,
2910,SENESHE,M,
2911,SENESYL,,
2912,SENETRI,M,
2913,SENEVUL,X,
2914,SERIRIG,TD4,
2915,SETAVIR,TD3,
2916,SHEPARG,TD1,
2917,SHEPCAN,TD3,
2918,SHEPHER,TD4,
2919,SIBBALD,,
2920,SIBBPRO,,
2921,SILEACA,,
2922,SILEANT,TD1,
2923,SILECSE,TD1,
2924,SILEDIC,TD4,
2925,SILEDOU,TD2,
2926,SILEDRU,TD2,
2927,SILELAT,TD1,
2928,SILEMEN,TD3,
2929,SILENE,TD2,
2930,SILENOC,TD3,
2931,SILEPAR,,
2932,SILEREP,TD0,
2933,SILEURA,,
2934,SILEVUL,TD2,
2935,SIPHCER,W,
2936,SIPHULA,W,
2937,SISYALT,TD1,
2938,SISYCAL,M,
2939,SISYIDA,TD3,
2940,SISYLIN,TD0,
2941,SISYLIT,TD4,
2942,SISYLOE,TD3,
2943,SISYMBR,X,
2944,SISYMON,X,
2945,SISYOFF,TD4,
2946,SISYRIN,X,
2947,SISYSEP,TD4,
2948,SIUMSUA,W,VW
2949,SMELAME,,
2950,SOLAAME,M,
2951,SOLADUL,X,
2952,SOLANUM,X,
2953,SOLEOBO,M,
2954,SOLERUB,,
2955,SOLICAN,X,
2956,SOLIDAG,X,
2957,SOLIGLU,TD1,
2958,SOLILEP,TD4,
2959,SOLIMIS,TD3,
2960,SOLIMUL,,
2961,SOLINEM,X,
2962,SOLISIM,TD2,
2963,SOLOBIS,,
2964,SOLOCRO,,
2965,SOLORIN,,
2966,SOLOSAC,,
2967,SONCARV,X,
2968,SONCASP,TD2,
2969,SONCHUS,X,
2970,SONCOLE,X,
2971,SORBAUC,X,
2972,SORBSCO,X,
2973,SORBSIT,X,
2974,SORBUS,X,
2975,SPARANG,W,
2976,SPAREME,,
2977,SPARGAN,W,VW
2978,SPARGRA,X,
2979,SPARHYP,,
2980,SPARNAT,,
2981,SPERCAN,W,
2982,SPERRUB,,
2983,SPERSAL,TD4,
2984,SPHAALA,,W
2985,SPHAANU,W,
2986,SPHAAON,M,
2987,SPHAAUS,W,
2988,SPHABAL,W,
2989,SPHACAI,W,
2990,SPHACEN,W,
2991,SPHACOM,W,
2992,SPHACON,W,
2993,SPHACUS,W,
2994,SPHAERA,TD4,
2995,SPHAERC,,
2996,SPHAERO,M,
2997,SPHAFIM,W,
2998,SPHAFUS,W,
2999,SPHAGIR,M,
3000,SPHAGLO,F,
3001,SPHAGNA,,
3002,SPHAGNU,W,
3003,SPHAHEN,W,
3004,SPHAJEN,,W
3005,SPHALIN,W,
3006,SPHAMAG,W,
3007,SPHAMAJ,W,
3008,SPHAMEN,W,
3009,SPHAPAC,W,
3010,SPHAPAL,W,
3011,SPHAPAP,W,
3012,SPHAPLA,W,
3013,SPHAQUI,X,
3014,SPHARIP,W,
3015,SPHARUB,W,
3016,SPHARUI,W,
3017,SPHARUS,W,
3018,SPHASQU,W,
3019,SPHASUN,W,
3020,SPHASUS,W,
3021,SPHATEN,W,
3022,SPHATER,W,
3023,SPHATUC,F,
3024,SPHAWAR,W,
3025,SPHAWIL,W,
3026,SPHAWUL,,
3027,SPILREV,TD3,
3028,SPIRAEA,X,
3029,SPIRANT,,
3030,SPIRDOU,W,
3031,SPIRLUC,TD3,
3032,SPIRPOL,W,
3033,SPIRROM,W,
3034,SPIRSPL,W,
3035,SPIRXPY,X,
3036,SPLAAMP,F,
3037,SPLACHA,M,
3038,SPLACHN,X,
3039,SPLACHU,X,
3040,SPLALUT,X,
3041,SPLARUB,TD4,
3042,SPLASPH,X,
3043,SPLAVAS,M,
3044,SPORCRY,TD0,
3045,SPOROBO,M,
3046,SQUACAR,TD2,
3047,SQUALEN,,
3048,SQUAMAR,,
3049,STACARV,X,
3050,STACCHA,M,
3051,STACHYS,F,
3052,STACMEX,M,
3053,STACPAL,X,
3054,STELBOR,X,
3055,STELCAL,X,
3056,STELCRA,X,
3057,STELCRI,M,
3058,STELGRA,,
3059,STELHUM,W,
3060,STELLAR,X,
3061,STELLOG,,
3062,STELLON,,
3063,STELMED,X,
3064,STELNIT,TD0,
3065,STELUMB,,
3066,STENANT,F,
3067,STEPHAN,,
3068,STEPTEN,TD0,
3069,STERALP,,
3070,STERCON,X,
3071,STERDEP,,
3072,STEREOA,,
3073,STEREOC,TD3,
3074,STERGLA,,
3075,STERGRA,TD3,
3076,STERINT,,
3077,STERPAS,TD3,
3078,STERRIV,,
3079,STERTOM,TD3,
3080,STICTA,TD0,
3081,STREAMP,M,
3082,STRELAN,X,
3083,STREPTO,X,
3084,STRESTR,X,
3085,STUCPEC,,VW
3086,SUAECAL,X,
3087,SWERPER,,
3088,SYMPALB,TD3,
3089,SYMPASC,,
3090,SYMPBOR,W,
3091,SYMPBRA,X,
3092,SYMPCAM,TD2,
3093,SYMPCII,X,
3094,SYMPCIL,TD4,
3095,SYMPERI,X,
3096,SYMPFAL,X,
3097,SYMPFOL,X,
3098,SYMPHES,TD3,
3099,SYMPHOR,TD3,
3100,SYMPHYO,TD3,
3101,SYMPLAE,TD3,
3102,SYMPLAN,TD3,
3103,SYMPOCC,TD3,
3104,SYMPORE,TD3,
3105,SYMPPUN,X,
3106,SYMPSPA,X,
3107,SYMPSUB,X,
3108,SYNTCAN,TD2,
3109,SYNTNOR,,
3110,SYNTPAP,,
3111,SYNTPRI,F,
3112,SYNTRUR,TD1,
3113,SYNTWYO,,
3114,SYZYAUT,X,
3115,TAKALEP,,
3116,TANABIP,TD4,
3117,TANAVUL,,
3118,TARACER,,
3119,TARAERY,,
3120,TARAOFF,X,
3121,TARAXAC,X,
3122,TAXUBRE,X,
3123,TAXUS,F,
3124,TAYLLIN,,
3125,TAYLORI,X,
3126,TAYLSER,X,
3127,TELLGRA,M,
3128,TEPHATR,TD3,
3129,TEPHFRI,,
3130,TEPHLIN,,
3131,TETRADY,TD1,
3132,TETRANG,X,
3133,TETRAPH,M,
3134,TETRAPL,TD3,
3135,TETRCAN,TD1,
3136,TETRGEN,M,
3137,TETRMNI,X,
3138,TETRPEL,X,
3139,TETRSET,TD3,
3140,THALALP,,
3141,THALICT,X,
3142,THALOCC,X,
3143,THALSPA,X,
3144,THALVEN,X,
3145,THAMNOL,,
3146,THAMVER,,
3147,THELLAC,M,
3148,THELQUE,W,
3149,THELYPE,F,
3150,THELYPO,M,
3151,THELYPT,W,
3152,THERMOP,F,
3153,THERVEL,TD3,
3154,THININT,TD4,
3155,THINPON,,
3156,THLAARV,TD3,
3157,THROEPI,M,
3158,THUIDEL,TD4,
3159,THUIDIA,,
3160,THUIDIU,X,
3161,THUIREC,M,
3162,THUJA,X,
3163,THUJPLI,X,
3164,THYMELA,W,
3165,TIARELL,F,
