"203","ARTEFUR",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","ARTELUD",2.2,NA,NA,1.5,0.5,0.5,0.1,20.6,NA,NA,NA,NA,NA,NA,NA,NA
"205","ARTEMIC",14.9,2.5,4,16.1,5,5.5,6.3,4.1,1,7.5,NA,2.01,NA,4,NA,NA
"206","ARTEMIS",1.5,NA,0.2,0.2,9.1,14.6,5.5,2.3,12.5,NA,NA,NA,1,1,NA,0.7
"207","ARTENOR",7,NA,3.1,6.5,11.6,33.901,78.01,33.402,116.018,126.813,55.2,42.74,44.3,4,34,9
"208","ARTESUK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA
"209","ARTETIL",NA,NA,NA,0.1,NA,NA,0.5,NA,17,NA,NA,12.1,0.6,NA,NA,15
"210","ARTETRI",1433.1,611,604.6,830.2,188.1,338.1,105.2,NA,44,NA,NA,NA,4,NA,0.1,NA
"211","ARTETRP",14.2,23,28.5,74.4,1,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
"212","ARTHGLE",NA,35,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","ARTHROR",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","ARUNCUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,4,5,NA,NA,0.01
"215","ASARCAU",NA,NA,NA,NA,1.11,8.501,10.601,42.74,139.42,221.954,73.82,198.211,131.8,76.91,21.1,12.6
"216","ASCLSPE",2.1,NA,NA,NA,NA,0.3,0.1,NA,NA,NA,1,NA,NA,NA,NA,NA
"217","ASPAOFF",0.1,0.5,1.5,1,3,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","ASPICAE",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","ASPIDEN",NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","ASPIREP",NA,NA,0.4,2.2,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","ASPLENI",NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA
