"178","ARALNUD",1,3,6,23,78,269,394,696,475,357,271,225,234,54,21,62,379
"179","ARBUMEN",NA,NA,8,52,56,7,52,9,NA,6,1,NA,1,NA,NA,NA,2
"180","ARCEAME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"181","ARCTAGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"182","ARCTALI",NA,NA,NA,1,NA,3,1,NA,6,NA,1,5,NA,NA,NA,5,11
"183","ARCTARC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"184","ARCTCEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"185","ARCTCOL",NA,NA,3,3,4,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,5
"186","ARCTCOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,13
"187","ARCTEMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"188","ARCTIUM",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"189","ARCTLAP",NA,NA,NA,2,NA,NA,6,2,NA,1,2,1,2,1,1,NA,1
"190","ARCTLAT",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,3,3,1,6,25
"191","ARCTMIN",NA,NA,NA,NA,NA,NA,12,NA,NA,1,6,NA,NA,NA,NA,NA,1
"192","ARCTOMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"193","ARCTOST",NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,2
"194","ARCTRBR",NA,NA,NA,4,2,1,14,25,13,6,28,14,6,14,7,22,142
"195","ARCTSUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"196","ARCTUVA",72,43,182,359,567,678,731,402,171,79,52,34,27,6,NA,16,1095
"197","ARENARI",2,NA,NA,3,1,2,4,3,1,3,NA,NA,3,NA,1,5,14
"198","ARENLON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"199","ARENSER",9,4,3,17,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,16
"200","ARISPUR",26,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"201","ARISTID",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","ARMEMAR",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","ARMORUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"204","ARNIANG",NA,NA,NA,NA,NA,NA,1,2,3,9,2,2,3,NA,1,4,96
"205","ARNICA",NA,NA,1,5,7,3,15,19,31,15,20,14,24,5,1,8,58
"206","ARNICHA",NA,NA,NA,NA,NA,1,3,6,NA,11,3,2,9,1,5,7,48
"207","ARNICOR",7,12,41,99,241,397,708,922,894,533,481,279,334,65,44,48,1402
"208","ARNIFUL",20,13,16,20,14,7,6,2,NA,NA,NA,NA,NA,1,NA,NA,53
"209","ARNIGRA",NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7
"210","ARNIGRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"211","ARNILAN",NA,NA,NA,NA,1,NA,2,NA,2,NA,1,1,2,4,1,3,3
"212","ARNILAT",NA,NA,1,7,19,36,78,163,258,322,179,294,289,33,92,45,1357
"213","ARNILES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"214","ARNILON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"215","ARNIMOL",NA,NA,NA,NA,NA,3,3,3,5,4,5,8,14,NA,3,9,98
"216","ARNIOVA",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,20
"217","ARNIPAR",1,NA,NA,2,NA,NA,NA,4,2,1,1,NA,1,NA,NA,NA,34
"218","ARNIRYD",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"219","ARNISOR",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
